time,precipitation_mm
2020-06-28,1.0565501
2020-06-29,1.1847037
2020-06-30,2.5392926
2020-07-01,2.3097136
2020-07-02,4.125935
2020-07-03,2.94423
2020-07-04,3.4535859
2020-07-05,0.37816975
2020-07-06,0.51065415
2020-07-07,2.1604989
2020-07-08,4.11103
2020-07-09,6.298571
2020-07-10,3.638882
2020-07-11,0.11811086
2020-07-12,0.00020755189
2020-07-13,1.5936826
2020-07-14,1.9152714
2020-07-15,0.63725144
2020-07-16,0.13876228
2020-07-17,0.11475331
2020-07-18,2.5401008
2020-07-19,3.424299
2020-07-20,0.09771508
2020-07-21,0.08095837
2020-07-22,1.2601624
2020-07-23,3.5965965
2020-07-24,0.6532874
2020-07-25,7.439288
2020-07-26,0.3211181
2020-07-27,6.079567
2020-07-28,0.050044574
2020-07-29,0.0021852374
2020-07-30,1.176394
2020-07-31,0.6427655
2020-08-01,0.539044
2020-08-02,0.18795437
2020-08-03,0.874817
2020-08-04,0.49779797
2020-08-05,1.3511097
2020-08-06,0.13594516
2020-08-07,0.057918243
2020-08-08,0.40420586
2020-08-09,0.88418543
2020-08-10,0.042921465
2020-08-11,0.28139406
2020-08-12,0.22761701
2020-08-13,4.314818
2020-08-14,3.1287744
2020-08-15,3.79779
2020-08-16,6.568096
2020-08-17,4.073457
2020-08-18,1.431417
2020-08-19,7.3484545
2020-08-20,1.682419
2020-08-21,0.35636204
2020-08-22,1.4016595
2020-08-23,3.0955935
2020-08-24,1.4251102
2020-08-25,16.043447
2020-08-26,0.5258005
2020-08-27,9.762089
2020-08-28,15.319114
2020-08-29,4.4449635
2020-08-30,0.5439974
2020-08-31,0.036955766
2020-09-01,0.26843545
2020-09-02,3.8052049
2020-09-03,2.302797
2020-09-04,0.3123476
2020-09-05,0.59709126
2020-09-06,1.1218848
2020-09-07,1.3414952
2020-09-08,0.24662042
2020-09-09,0.14205295
2020-09-10,0.07047273
2020-09-11,0.062376436
2020-09-12,0.058816746
2020-09-13,0.009165456
2020-09-14,4.4703484e-05
2020-09-15,0.022119975
2020-09-16,0.0960614
2020-09-17,0.0049792053
2020-09-18,0.004826202
2020-09-19,0.13907583
2020-09-20,0.2342844
2020-09-21,0.019417722
2020-09-22,0.07196986
2020-09-23,8.670183
2020-09-24,11.1518755
2020-09-25,11.483529
2020-09-26,3.5373356
2020-09-27,0.38423
2020-09-28,0.23654112
2020-09-29,2.104474
2020-09-30,10.177867
2020-10-01,2.8710845
2020-10-02,11.003904
2020-10-03,13.250582
2020-10-04,12.261609
2020-10-05,2.1150084
2020-10-06,3.748651
2020-10-07,1.4768245
2020-10-08,8.920477
2020-10-09,1.1492954
2020-10-10,2.6977475
2020-10-11,1.182167
2020-10-12,4.512407
2020-10-13,4.2038097
2020-10-14,1.6239856
2020-10-15,1.3362272
2020-10-16,0.50499165
2020-10-17,0.5211576
2020-10-18,0.51270825
2020-10-19,0.23666947
2020-10-20,3.2705102
2020-10-21,12.122967
2020-10-22,0.5407738
2020-10-23,1.192009
2020-10-24,10.277788
2020-10-25,4.3834743
2020-10-26,3.130646
2020-10-27,5.468961
2020-10-28,4.1085997
2020-10-29,5.8582983
2020-10-30,1.3879052
2020-10-31,4.556007
2020-11-01,4.2042575
2020-11-02,1.6550294
2020-11-03,4.1424623
2020-11-04,0.12043322
2020-11-05,0.050701287
2020-11-06,0.0094292415
2020-11-07,0.07017196
2020-11-08,0.29464144
2020-11-09,2.365623
2020-11-10,0.53870183
2020-11-11,1.9759936
2020-11-12,4.0096636
2020-11-13,0.952429
2020-11-14,5.1491942
2020-11-15,9.392963
2020-11-16,0.96737766
2020-11-17,0.2566067
2020-11-18,1.0334537
2020-11-19,1.0877291
2020-11-20,1.3785567
2020-11-21,0.9223123
2020-11-22,0.64093816
2020-11-23,0.27615392
2020-11-24,0.2599622
2020-11-25,1.742931
2020-11-26,0.2429087
2020-11-27,0.47150397
2020-11-28,0.870306
2020-11-29,0.8538946
2020-11-30,1.7784803
2020-12-01,0.11899083
2020-12-02,0.55198914
2020-12-03,13.561986
2020-12-04,13.014351
2020-12-05,4.151842
2020-12-06,3.118019
2020-12-07,3.0522501
2020-12-08,2.4780376
2020-12-09,3.3760674
2020-12-10,1.112982
2020-12-11,9.532635
2020-12-12,1.325415
2020-12-13,7.211383
2020-12-14,3.216094
2020-12-15,0.2970047
2020-12-16,3.3744137
2020-12-17,0.86902577
2020-12-18,2.6696224
2020-12-19,3.8406587
2020-12-20,1.9976919
2020-12-21,7.680584
2020-12-22,4.1051764
2020-12-23,10.887031
2020-12-24,2.9698582
2020-12-25,0.40820304
2020-12-26,2.0547767
2020-12-27,12.783506
